#
#  sone211586cyc 22.0 Genes link table generated on Tue Aug 21, 2018
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
G1GMP-3252	Q8EBM5	emrD3	
G1GMP-204			
G1GMP-1562	Q8EGA7		
G1GMP-525	Q8EJB3		
G1GMP-4014	Q8E9E3		
G1GMP-3554	Q8EAR7		
G1GMP-1256	Q8EH71	rimM	
G1GMP-2358	Q8EE18	ppiB	
G1GMP-1619	Q8EG41		
G1GMP-2132	Q8EEP4	ybfF	
G1GMP-3196			
G1GMP-4236	Q8E8S6	ftsE	
G1GMP-4411	Q8E8A1		
G1GMP-2778	Q8ECW8	dam	
G1GMP-2528			
G1GMP-1289	Q8EH37		
G1GMP-2964	Q8ECF8	wbqC	
G1GMP-2515	Q8EDL0		
G1GMP-352	Q8EJU0		
G1GMP-1018	Q8EHV6	nqrD	
G1GMP-3407	Q8EB72		
G1GMP-4237	Q8E8S5	ftsY	
G1GMP-2359	Q8EE17	ycgN	
G1GMP-4015	Q8E9E2		
G1GMP-1931	Q8EF86		
G1GMP-118	Q8EKH2	ybdG	
G1GMP-3649	Q8EAH1		
G1GMP-1793	Q8EFM5	phoQ	
G1GMP-1854	Q8EFG1	apt	
G1GMP-751	Q8EIN3		
G1GMP-2133	Q8EEP2	seqA	
G1GMP-48	Q8EKP6	nsrR	
G1GMP-598	Q8EJ41	hrpB	
G1GMP-4566	Q8E809		
G1GMP-410	Q8EJN6		
G1GMP-1352	Q8EGX6		
G1GMP-2046	Q8EEX4	ptsI	
G1GMP-4016	Q8E9E1	agxT	
G1GMP-2677	Q8ED66		
G1GMP-689	P46149		
G1GMP-2360	Q8EE15	ycgL	
G1GMP-3504	Q8EAW9		
G1GMP-1210	Q8EHB9		
G1GMP-2812	Q8CMJ6	tnpA	
G1GMP-1986	Q8CM99	int_ISSod25	
G1GMP-3295	Q8EBI3	ribF	
G1GMP-3927	Q8E9L9	slmA	
G1GMP-4380		rrfI	
G1GMP-4238	Q8E8S4	rsmD	
G1GMP-4479	Q8E857		
G1GMP-3862	Q8E9S9		
G1GMP-1064	Q8EHQ7	rimI	
G1GMP-814	Q8EIG7	pcnB	
G1GMP-2716	Q8ED29		
G1GMP-2134	Q8EEP1	pgm	
G1GMP-2516	Q8EDK9	bioD	
G1GMP-904	Q8EI76		
G1GMP-2361	Q8EE14	minC	
G1GMP-4369	Q8E8E0	mutM	
G1GMP-4239	Q8E8S3		
G1GMP-3408	K4PU38		
G1GMP-690	Q8EIU5	nicT	
G1GMP-654	Q8EIY4	galM	
G1GMP-961	Q8EI15	cobQ	
G1GMP-2694	Q8ED50	tqsA	
G1GMP-2362	Q8EE13	minD	
G1GMP-4017	Q8E9E0	ilvA	
G1GMP-1684	Q8CM19	tnpA	
G1GMP-3007	Q8ECB5	fliF	
G1GMP-1987	Q8CLY6	tnpA	
G1GMP-3253	Q8EBM3		
G1GMP-2660	Q8ED82	prkA	
G1GMP-3588	Q8EAN2		
G1GMP-4412	Q8E8A0		
G1GMP-1383	Q8EGU3	glgC	
G1GMP-3409	Q8EB70	fadD	
G1GMP-3555	Q8EAR6		
G1GMP-4240	Q8E8S2		
G1GMP-284	Q8EK12	trpS	
G1GMP-353	Q8EJT9	res	
G1GMP-752	Q8EIN2		
G1GMP-2637	Q8EDA8		
G1GMP-3619	Q8EAK2		
G1GMP-3760	K4PSK8		
G1GMP-3188	Q8EBS5	valS	
G1GMP-4567	Q8E808		
G1GMP-599	Q8EJ40	mrcB	
G1GMP-1203	Q8EHC7	pyrB	
G1GMP-3808	Q8E9Y8	priA	
G1GMP-2363	Q8EE12	minE	
G1GMP-3735	Q8EA73		
G1GMP-2135	Q8EEP0	msrA	
G1GMP-4018	Q8E9D9	ilvD	
G1GMP-3296	Q8EBI2	murJ	
G1GMP-186	Q8EK94		
G1GMP-3679	Q8EAE2	yhbJ	
G1GMP-560	Q8EJ79	rsgA	
G1GMP-1855	Q8EFG0	dnaX	
G1GMP-1563	Q8EGA6		
G1GMP-49	Q8EKP5	yibQ	
G1GMP-2529			
G1GMP-2136	Q8EEN9	astE	
G1GMP-4241	Q8E8S1		
G1GMP-3505	Q8EAW7	putA	
G1GMP-4381		rrlI	
G1GMP-2858	Q8ECP8		
G1GMP-4019	Q8E9D8	ilvM	
G1GMP-1620	Q8EG40	garK	
G1GMP-253	Q8EK39	scyA	
G1GMP-4242	Q8E8S0	cymA	
G1GMP-2364	Q8EE10	rnd	
G1GMP-3223	Q8EBQ5		
G1GMP-4480	Q8E856		
G1GMP-1794	Q8EFM4	phoP	
G1GMP-1932	Q8EF85		
G1GMP-3410	Q8EB69		
G1GMP-3863	Q8E9S7		
G1GMP-119	Q8EKH1		
G1GMP-753	Q8EIN1	phoD	
G1GMP-3067	Q8EC52	guaA	
G1GMP-815	Q8EIG6	yadB	
G1GMP-1506	Q8EGG8	rseP	
G1GMP-3116	Q8EBZ7	hemH	
G1GMP-3297	Q8EBH9	rpsT	
G1GMP-877	Q8EIA3		
G1GMP-187	Q8EK93		
G1GMP-2047	Q8EEX3	ptsH	
G1GMP-2517	Q8EDK8	bioC	
G1GMP-1564	Q8EGA5		
G1GMP-50	Q8EKP4		
G1GMP-4370	Q8E8D9	mutM	
G1GMP-526	Q8EJB2		
G1GMP-3150	Q8EBW4		
G1GMP-962	Q8EI14	cobO	
G1GMP-1019	Q8EHV5	nqrE	
G1GMP-4413	Q8E899		
G1GMP-3928	Q8E9L8		
G1GMP-1131	Q8EHK0	deoD	
G1GMP-2137	Q8EEN8	bkdA1	
G1GMP-4020	Q8E9D7	ilvG	
G1GMP-3036	Q8EC86	flgT	
G1GMP-285	Q8EK11		
G1GMP-4243	Q8E8R9		
G1GMP-2365	Q8EE09	fadD	
G1GMP-2138	Q8EEN7	bkdA2	
G1GMP-1307	Q8EH19		
G1GMP-1171	Q8EHF4	puuA	
G1GMP-2889	K4PU11		
G1GMP-411	Q8EJN5	plpD	
G1GMP-2575	Q8EDG3		
G1GMP-3589	Q8EAN1		
G1GMP-1795	Q8EFM3		
G1GMP-2795	Q8ECV2	trpD	
G1GMP-3864	Q8E9S6	ppaC	
G1GMP-1415	Q8EGR3		
G1GMP-470	Q7CCS5	tnpA	
G1GMP-639	Q8EJ00		
G1GMP-3298	Q8EBH8	hlyU	
G1GMP-4021	Q8E9D6	ilvL	
G1GMP-2933	Q8ECI8	proS	
G1GMP-4568	Q8E807		
G1GMP-3809	Q8E9Y7	argS	
G1GMP-3705	Q8CLZ2	tnpA	
G1GMP-1685	Q8EFY1	rimJ	
G1GMP-2139	Q8EEN6	bkdB	
G1GMP-2678	Q8ED65		
G1GMP-4382		rrsI	
G1GMP-963	K4PW04		
G1GMP-1211	Q8EHB8		
G1GMP-1621	Q8EG39	grtP	
G1GMP-2366	Q8EE08		
G1GMP-4244	Q8E8R8		
G1GMP-1020	Q8EHV4	nqrF	
G1GMP-754	Q8EIN0		
G1GMP-3929	Q8E9L6	folE	
G1GMP-4022	Q8E9D5	ilvC	
G1GMP-436	Q8EJK5		
G1GMP-354	Q8EJT8		
G1GMP-3506	Q8EAW6		
G1GMP-1189	Q8EHD7	rpsU	
G1GMP-2367	Q8EE07		
G1GMP-3330		rrfE	
G1GMP-3224	Q8EBQ4	relA	
G1GMP-1154	Q8EHH4		
G1GMP-816	Q8EIG5	dksA	
G1GMP-120	Q8EKH0		
G1GMP-527	Q8EJB1		
G1GMP-3556	Q8EAR5		
G1GMP-2530			
G1GMP-51	Q8EKP3		
G1GMP-2140	Q8EEN5	nadA	
G1GMP-4023	Q8E9D4	ilvY	
G1GMP-3299	Q8EBH7		
G1GMP-1686	Q8EFY0		
G1GMP-2840	K4PSU2	truA	
G1GMP-1565	Q8EGA4		
G1GMP-2661	P59352		
